Status: 500 [30/May/2024:11:05:18 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:05:18 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:05:18 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:05:18 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:05:18 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:05:47 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:09:27 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:09:28 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:09:34 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:11:09:34 +0000] Bytes: 324 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
